FormatID,FormatName,FormatVersion,ReleaseDate,ExternalSignature,PUID,MIME,Source
139,Adobe Photoshop,,1990/02,psd pdd,x-fmt/92,image/vnd.adobe.photoshop,https://www.psd-dude.com/tutorials/resources/adobe-photoshop-twenty-five-years-anniversary-infographic.aspx
654,Waveform Audio,,1991/08,wav,fmt/6,audio/x-wav,https://www.aelius.com/njh/wavemetatools/doc/riffmci.pdf
613,Acrobat PDF 1.0 - Portable Document Format,1.0,1993/06/15,pdf,fmt/14,application/pdf,https://pdf-aktuell.ch/pa/language/en/adobe-acrobat-1-0-was-released-30-years-ago/
645,Hypertext Markup Language,,1993/06,htm html,fmt/96,text/html,https://www.w3.org/MarkUp/draft-ietf-iiir-html-01.txt
45,Comma Separated Values,,1972/07,csv,x-fmt/18,text/csv,https://bitsavers.trailing-edge.com/pdf/ibm/370/fortran/GC28-6884-0_IBM_FORTRAN_Program_Products_for_OS_and_CMS_General_Information_Jul72.pdf
923,MPEG Audio Stream Layer II,,1991/12/06,mp2 mpw mpa,fmt/198,audio/mpeg,https://dl.acm.org/doi/10.1145/166266.166274
1142,DS_Store File (MAC),,1984/01/24,ds_store,fmt/394,,https://en.wikipedia.org/wiki/System_1
386,GZIP Format,,1992/08/31,gz z,x-fmt/266,application/gzip,https://gzip.ru/skachat-gzip/
869,TrueType Font,,18 Dec 2003,ttf,x-fmt/453,font/ttf,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/453
692,Windows Media Audio,,01 Dec 2004,wma asf,fmt/132,audio/x-ms-wma,https://www.nationalarchives.gov.uk/PRONOM/fmt/132
769,DROID File Collection File Format,1.0,17 Sep 2005,xml,fmt/120,text/xml,https://www.nationalarchives.gov.uk/PRONOM/fmt/120
768,DROID Signature File Format,1.0,17 Sep 2005,xml,fmt/121,text/xml,https://www.nationalarchives.gov.uk/PRONOM/fmt/121
785,Waveform Audio (WAVEFORMATEX),,1991/08,wav wave,fmt/142,audio/x-wav,https://mmsp.ece.mcgill.ca/Documents/AudioFormats/WAVE/WAVE.html
